Lyso name	Whole lyso area	Dark parts area	Light and dark parts area	Light parts only	Volume ratio
	nm^2	nm^2	nm^2	nm^2	
HT2080-24h_1_0104	1.2175E6	353390.54276	667986.03702	314595.49426	0.26353
HT2080-24h_1_0096	944706.74419	135699.48649	353871.94871	218172.46222	0.1498
HT2080-24h_1_0015	312723.2419	36046.96422	166062.21839	130015.25417	0.16354
HT2080-24h_1_0033	501523.95531	83943.31524	216680.4223	132737.10706	0.17371
HT2080-24h_1_0043	406361.66299	50877.30383	126303.98117	75426.67733	0.12762
HT2080-24h_1_0047	330657.21126	46315.79214	108808.28464	62492.49249	0.13926
HT2080-24h_1_0071	1.57307E6	317296.83699	583091.66516	265794.82817	0.18114
